frame,timestamp,age,gender
0,0.0,24,Woman
1,0.04,24,Woman
2,0.08,25,Woman
3,0.12,24,Woman
4,0.16,24,Woman
5,0.2,24,Woman
6,0.24,25,Woman
7,0.28,23,Woman
8,0.32,24,Woman
9,0.36,24,Woman
10,0.4,24,Woman
11,0.44,24,Woman
12,0.48,24,Woman
13,0.52,25,Woman
14,0.56,24,Woman
15,0.6,24,Woman
16,0.64,24,Woman
17,0.68,24,Woman
18,0.72,24,Woman
19,0.76,24,Woman
20,0.8,24,Woman
21,0.84,24,Woman
22,0.88,24,Woman
23,0.92,23,Woman
24,0.96,25,Woman
25,1.0,25,Woman
26,1.04,25,Woman
27,1.08,25,Woman
28,1.12,25,Woman
29,1.16,25,Woman
30,1.2,24,Woman
31,1.24,25,Woman
32,1.28,25,Woman
33,1.32,25,Woman
34,1.36,25,Woman
35,1.4,25,Woman
36,1.44,25,Woman
37,1.48,25,Woman
38,1.52,25,Woman
39,1.56,25,Woman
40,1.6,25,Woman
41,1.64,25,Woman
42,1.68,25,Woman
43,1.72,24,Woman
44,1.76,25,Woman
45,1.8,25,Woman
46,1.84,25,Woman
47,1.88,25,Woman
48,1.92,25,Woman
49,1.96,25,Woman
50,2.0,25,Woman
51,2.04,25,Woman
52,2.08,25,Woman
53,2.12,25,Woman
54,2.16,26,Woman
55,2.2,26,Woman
56,2.24,25,Woman
57,2.28,25,Woman
58,2.32,26,Woman
59,2.36,25,Woman
60,2.4,26,Woman
61,2.44,26,Woman
62,2.48,26,Woman
63,2.52,26,Woman
64,2.56,26,Woman
65,2.6,26,Woman
66,2.64,26,Woman
67,2.68,26,Woman
68,2.72,26,Woman
69,2.76,26,Woman
70,2.8,25,Woman
71,2.84,25,Woman
72,2.88,25,Woman
73,2.92,25,Woman
74,2.96,25,Woman
75,3.0,25,Woman
76,3.04,25,Woman
77,3.08,25,Woman
78,3.12,25,Woman
79,3.16,26,Woman
80,3.2,25,Woman
81,3.24,26,Woman
82,3.28,25,Woman
83,3.32,26,Woman
84,3.36,26,Woman
85,3.4,25,Woman
86,3.44,25,Woman
87,3.48,25,Woman
88,3.52,25,Woman
89,3.56,25,Woman
90,3.6,25,Woman
91,3.64,25,Woman
92,3.68,26,Woman
93,3.72,26,Woman
94,3.76,26,Woman
95,3.8,26,Woman
96,3.84,26,Woman
97,3.88,26,Woman
98,3.92,26,Woman
99,3.96,26,Woman
100,4.0,26,Woman
101,4.04,25,Woman
102,4.08,26,Woman
103,4.12,25,Woman
104,4.16,25,Woman
105,4.2,26,Woman
106,4.24,25,Woman
107,4.28,25,Woman
108,4.32,25,Woman
109,4.36,25,Woman
110,4.4,26,Woman
111,4.44,26,Woman
112,4.48,26,Woman
113,4.52,26,Woman
114,4.56,22,Woman
115,4.6,22,Woman
116,4.64,22,Woman
117,4.68,26,Woman
118,4.72,26,Woman
119,4.76,23,Woman
120,4.8,25,Woman
121,4.84,26,Woman
122,4.88,23,Woman
123,4.92,24,Woman
124,4.96,24,Woman
125,5.0,24,Woman
126,5.04,24,Woman
127,5.08,24,Woman
128,5.12,26,Woman
129,5.16,27,Woman
130,5.2,27,Woman
131,5.24,26,Woman
132,5.28,26,Woman
133,5.32,26,Woman
134,5.36,27,Woman
135,5.4,27,Woman
136,5.44,27,Woman
137,5.48,26,Woman
138,5.52,27,Woman
139,5.56,27,Woman
140,5.6,27,Woman
141,5.64,27,Woman
142,5.68,26,Woman
143,5.72,26,Woman
144,5.76,26,Woman
145,5.8,26,Woman
146,5.84,26,Woman
147,5.88,26,Woman
148,5.92,27,Woman
149,5.96,27,Woman
150,6.0,26,Woman
151,6.04,27,Woman
152,6.08,27,Woman
153,6.12,27,Woman
154,6.16,27,Woman
155,6.2,27,Woman
156,6.24,27,Woman
157,6.28,27,Woman
158,6.32,27,Woman
159,6.36,27,Woman
160,6.4,27,Woman
161,6.44,27,Woman
162,6.48,27,Woman
163,6.52,26,Woman
164,6.56,27,Woman
165,6.6,23,Woman
166,6.64,24,Woman
167,6.68,23,Woman
168,6.72,23,Woman
169,6.76,27,Woman
170,6.8,28,Woman
171,6.84,28,Woman
172,6.88,28,Woman
173,6.92,28,Woman
174,6.96,28,Woman
175,7.0,28,Woman
176,7.04,28,Woman
177,7.08,28,Woman
178,7.12,28,Woman
179,7.16,29,Woman
180,7.2,28,Woman
181,7.24,28,Woman
182,7.28,28,Woman
183,7.32,28,Woman
184,7.36,28,Woman
185,7.4,28,Woman
186,7.44,28,Woman
187,7.48,28,Woman
188,7.52,28,Woman
189,7.56,25,Woman
190,7.6,25,Woman
191,7.64,25,Woman
192,7.68,25,Woman
193,7.72,25,Woman
194,7.76,25,Woman
195,7.8,24,Woman
196,7.84,25,Woman
197,7.88,25,Woman
198,7.92,28,Woman
199,7.96,25,Woman
